Date,Time,Student_ID,Student_Name,Status,Confidence,Timestamp
2025-09-21,07:37:54,STUDENT_006,Student 006,Present,0.48,2025-09-21T07:37:54.305898
2025-09-21,07:37:54,STUDENT_017,Student 017,Present,0.83,2025-09-21T07:37:54.305898
2025-09-21,07:37:54,STUDENT_003,Student 003,Present,0.85,2025-09-21T07:37:54.305898
2025-09-21,07:37:54,STUDENT_011,Student 011,Present,0.84,2025-09-21T07:37:54.305898
2025-09-21,07:37:54,STUDENT_015,Student 015,Present,0.85,2025-09-21T07:37:54.305898
2025-09-21,07:37:54,STUDENT_012,Student 012,Present,0.81,2025-09-21T07:37:54.305898
2025-09-21,07:37:54,STUDENT_013,Student 013,Present,0.83,2025-09-21T07:37:54.305898
2025-09-21,07:37:54,STUDENT_009,Student 009,Present,0.80,2025-09-21T07:37:54.305898
2025-09-21,07:37:54,STUDENT_018,Student 018,Present,0.82,2025-09-21T07:37:54.305898
2025-09-21,07:37:54,STUDENT_019,Student 019,Present,0.80,2025-09-21T07:37:54.305898
2025-09-21,07:37:54,ABHISHEK-6690,Abhishek-6690,Present,0.42,2025-09-21T07:37:54.305898
